student_id,age.x,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,social_media_hours_binned,age_range,age.y,social_media_hours_raw,depression_score,sleep_issues_score
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,23,between 1 and 2 hours,3,2
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,23,between 1 and 2 hours,4,1
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,25,between 1 and 2 hours,4,4
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,25,between 1 and 2 hours,5,5
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,24,between 1 and 2 hours,2,4
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,22,between 1 and 2 hours,2,4
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,22,between 1 and 2 hours,5,5
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,22,between 1 and 2 hours,3,5
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,22,between 1 and 2 hours,5,4
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,25,between 1 and 2 hours,5,5
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,22,between 1 and 2 hours,3,2
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,23,between 1 and 2 hours,5,5
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,22,between 1 and 2 hours,1,1
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,23,between 1 and 2 hours,3,3
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,24,between 1 and 2 hours,5,3
S1000,23,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2,1-2 hours,22-25,23,between 1 and 2 hours,3,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,5,5
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,21,between 2 and 3 hours,4,1
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,18,between 2 and 3 hours,3,2
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,19,between 2 and 3 hours,4,5
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,19,between 2 and 3 hours,1,4
S1001,20,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100,2-3 hours,18-21,18,between 2 and 3 hours,4,4
